"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"PEP-SYN-000-4MF32489","Person","Hun Heng","","1979","kh","Cambodia, Cambodia","","","","","HoS-current","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-001-W2TU7RFC","Person","Berdymukhamed Berdymukhamedov","","","tm","","","","","","Military-Senior","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-002-AU3SGK5Y","Person","Yolanda Gonzalez","","","ve","","","","","","Military-Senior","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-003-Q9TB4W9W","Person","Berdymukhamed Annayev","B. Annayev","","tm","","","","","","CB-Regulator","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-004-YQP4NP7K","Person","Hassan Rahimi","","","ir","Tehran, Iran","","","","","Judge-Senior","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-005-TT39V3UC","Person","Salvador Mbasogo","","","gq","","","","","","Legislator","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-006-6A69SKKA","Person","Nikolai Kozlov","","1974","ru","St. Petersburg, Russia","","","","","SOE-Exec","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-007-6P7UQFN4","Person","Robert Jones","","1952","us","","","","","","Family-PEP","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-008-TPC5BF7G","Person","Min Aung","","1962","mm","","","","","","Family-PEP","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-009-PJN86DT7","Person","Laszlo Szabo","","","hu","Hungary, Hungary","","","","","Military-Senior","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-010-MZ44SHV4","Person","Su Maung","","","mm","Myanmar, Myanmar","","","","","Family-PEP","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-011-YKTSR8RB","Person","Lei Wu","","1958","cn","","","","","","Family-PEP","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-012-2MK9M924","Person","Viktar Lukashenka","","","by","Belarus, Belarus","","","","","Family-PEP","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-013-6SYXMMH9","Person","Carmen Perez","","","ve","Maracaibo, Venezuela","","","","","SOE-Exec","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-014-3ESCUW59","Person","Bo Huang","","1951","cn","","","","","","Minister","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-015-UWWK53PK","Person","Leyla Hasanov","","","az","Azerbaijan, Azerbaijan","","","","","Minister","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-016-7E2EAYUU","Person","Linda Brown","","1948","us","","","","","","CB-Regulator","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-017-3MSK3SC3","Person","Laurent Kabamba","L. Kabamba","","cd","","","","","","IO-Official","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-018-4QW9E5ZX","Person","Saule Tokayev","","","kz","Astana, Kazakhstan","","","","","SOE-Exec","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-019-AE6QPBGC","Person","Thein Maung","","1960","mm","Myanmar, Myanmar","","","","","Family-PEP","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-020-YDX4X9DB","Person","Igor Petrov","","1953","ru","","","","","","Judge-Senior","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-021-ZX6A5X5S","Person","Roberto Garcia","","1951","mx","Mexico City, Mexico","","","","","Military-Senior","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-022-XYW34PFV","Person","Farhad Rezaei","","1961","ir","","","","","","Minister","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-023-K254ZXRX","Person","Sergei Smirnov","","1972","ru","","","","","","CB-Regulator","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-024-YUW3XD8Q","Person","Mikhail Smirnov","M. Smirnov","","ru","","","","","","Family-PEP","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-025-W7UU7XF2","Person","Bo Zhu","","1960","cn","","","","","","CB-Regulator","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-026-W3WH98VY","Person","Robert Williams","R. Williams","1969","us","","","","","","CB-Regulator","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-027-4ZTADPJE","Person","Jong Pak","","","kp","North Korea, North Korea","","","","","CB-Regulator","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-028-5NFDSUCF","Person","William Davies","","","gb","London, United Kingdom","","","","","Minister","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-029-DF4ZQYCN","Person","Manuel dos Santos","","1957","ao","","","","","","Close-Assoc","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-030-68FQZEQS","Person","Ricardo Fernandez","","1980","ar","Argentina, Argentina","","","","","Military-Senior","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
"PEP-SYN-031-GGGQ8JHU","Person","Paulo Cardoso","","1965","ao","Angola, Angola","","","","","CB-Regulator","Synthetic PEP Starter v1","2025-11-06T16:53:44","2026-05-05T16:53:44","2025-11-06T16:53:44"
