"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"NK-25R9tkNmZQDoo4mvxwu9nH","Company","Al-Barakaat Group of Companies Somalia Limited","Al-Barakaat","","","","","Other","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-2aHjV6zT3m5eptpRePU2Xo","Company","Aeroflex/Metelics, Inc.","","","","","","Other","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-4edTp9oLznknWvdPjf2Zjp","Company","Alfa Laval Inc.","","","us","Richmond, Virginia","","Other","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-6Y2ZRzPgukWhZNpoHYCFyk","Person","Gerhard Wisser","","","","","","Other","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-8jsMKjbAEmjAxcf8gAPf4u","Company","NOV Elmar","","","","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-8uewTQQuUxt35a2LyWQLFg","Company","Kairaba Shopping Center","","","","The Gambia","","Other","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-8zW6UP4kqSvUyGruyU5WQ9","Company","Zoltek Vegyipari ZRT","Zoltek ZRT","","hu","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-975T4FSLVe6GmNz7MqSw7T","Company","Dreco Energy Services, Ltd.","","","","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-9D6CErsrFytnLxgLXowLck","Company","Aban Offshore Limited","","","in","Chennai","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-9M6fLG6wKcYC5eLtSdWKpT","Company","DENTSPLY SIRONA INC.","","","us","Delaware","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-9mihWyfH7tg5F3gNT9yL4t","Company","Construction Specialties Inc.","","","","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-9x55pgkzE5mu3ERnYqvSKt","Company","Keysight Technologies Inc.","","","","Santa Rosa, California","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-ABJozD8yK9kuhb3Lftj6Uy","Company","Gracetown, Inc.","","","","","","Filed","","","","US OFAC Enforcement Actions","2025-12-09T09:57:13","2026-04-25T08:44:02","2025-12-09T09:57:13"
"NK-CximxQp9npAVi7aP2JvxgV","Company","Construction Specialties, Middle East L.L.C.","","","ae","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-F7nLMoAyHm2m4JfJdWHBzz","Company","National Commercial Bank","","","sa","Jeddah","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-G2KoHHQC3ewW88MVeBxvy5","Company","Binance Holdings, Ltd.","Binance","","ky","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-Hwy9kkjVP3K83rKRBbf3Rf","Company","Jiangsu Guoqiang Tools Co., Ltd.","GQ","","cn","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-KaUquE2okfJD2HfeWQE9tN","Company","UniCredit Bank Austria AG","","","at","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-N8cchWcdbDxLp7sHpLuN8S","Company","Wells Fargo Bank, N.A.","","","","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-NCDFrVVzGqdYH22Kyzbwq8","Company","Zoltek Corporation","Zoltek U.S.","","","United States","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-PyLHJWvVJAEQcbjWBkRsjw","Company","First Bank SA","","","ro","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-R9qwuDBptosquHLRCQ7KMT","Company","Comtech EF Data Corp.","EF Data","","","Tempe, Arizona","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-RRX2Xmu5ChEwmpwrt88J8h","Company","JPMorgan Chase Bank, N.A.","","","","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-RfmgA7bdsqy9QahSgfTjxH","Company","Zoltek Companies, Inc.","","","us","Bridgeton, Missouri","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-SCeJzLxoyTqBzbG6RctKaU","Company","ExxonMobil Corp.","ExxonMobil Oil Corp.","","us","Irving, Texas","","Other","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-Sqj9KUjPaeZgsdgKbSTnBo","Company","Anite Finland OY","","","","Finland","","Other","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-TMw8ACunzfKJY7pZic9C9Z","Company","National Oilwell Varco, Inc.","","","us","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-TYB7amAMxUHq3hz3qswDNu","Company","Société Générale S.A","","","","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-UVonZfdUCppKpWhiKvVX9P","Company","Microsoft Corporation","","","","Redmond, Washington","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-VC6caAaE2Awh6VeT3zzbKX","Company","DENTSPLY International Inc.","","","","","","Other","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-VD5PLu7kFo9RFSMhZpzWq2","Company","Toronto-Dominion Bank","TD Bank","","ca","","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
"NK-VaTnNbS8PviupoG2YQDwYk","Company","Kollmorgen Corporation","","","us","Radford, Virginia","","Settled","","","","US OFAC Enforcement Actions","2025-08-28T06:52:47","2026-04-25T08:44:02","2025-08-28T06:52:47"
